2025-03-26 18:41:12.613 | INFO     | main:predict_diabetes:42 - Recibiendo predicción para características: age=0.038076 sex=0.05068 bmi=0.061696 bp=0.021872 s1=-0.044223 s2=-0.034821 s3=-0.043401 s4=-0.002592 s5=0.019908 s6=-0.017646
2025-03-26 18:58:46.842 | INFO     | main:predict_wine:44 - Recibiendo predicción para características: alcohol=13.0 malic_acid=1.5 ash=2.3 alcalinity_of_ash=15.0 magnesium=100.0 total_phenols=2.5 flavanoids=3.0 nonflavanoid_phenols=0.3 proanthocyanins=1.5 color_intensity=5.0 hue=1.0 od280_od315_of_diluted_wines=3.0 proline=1000.0
2025-03-26 18:58:46.851 | INFO     | main:predict_wine:67 - Predicción exitosa: {'prediction': 0, 'probabilities': {'clase_0': 0.89, 'clase_1': 0.11, 'clase_2': 0.0}, 'message': 'Vino clasificado como: Clase 0'}
2025-03-26 18:58:48.061 | INFO     | main:predict_wine:44 - Recibiendo predicción para características: alcohol=13.0 malic_acid=1.5 ash=2.3 alcalinity_of_ash=15.0 magnesium=100.0 total_phenols=2.5 flavanoids=3.0 nonflavanoid_phenols=0.3 proanthocyanins=1.5 color_intensity=5.0 hue=1.0 od280_od315_of_diluted_wines=3.0 proline=1000.0
2025-03-26 18:58:48.074 | INFO     | main:predict_wine:67 - Predicción exitosa: {'prediction': 0, 'probabilities': {'clase_0': 0.89, 'clase_1': 0.11, 'clase_2': 0.0}, 'message': 'Vino clasificado como: Clase 0'}
2025-03-26 18:58:49.703 | INFO     | main:predict_wine:44 - Recibiendo predicción para características: alcohol=13.0 malic_acid=1.5 ash=2.3 alcalinity_of_ash=15.0 magnesium=100.0 total_phenols=2.5 flavanoids=3.0 nonflavanoid_phenols=0.3 proanthocyanins=1.5 color_intensity=5.0 hue=1.0 od280_od315_of_diluted_wines=3.0 proline=1000.0
2025-03-26 18:58:49.710 | INFO     | main:predict_wine:67 - Predicción exitosa: {'prediction': 0, 'probabilities': {'clase_0': 0.89, 'clase_1': 0.11, 'clase_2': 0.0}, 'message': 'Vino clasificado como: Clase 0'}
2025-03-26 18:59:35.254 | INFO     | main:predict_wine:44 - Recibiendo predicción para características: alcohol=13.0 malic_acid=1.5 ash=2.3 alcalinity_of_ash=15.0 magnesium=100.0 total_phenols=2.5 flavanoids=3.0 nonflavanoid_phenols=0.3 proanthocyanins=1.5 color_intensity=5.0 hue=1.0 od280_od315_of_diluted_wines=3.0 proline=1000.0
2025-03-26 18:59:35.264 | INFO     | main:predict_wine:67 - Predicción exitosa: {'prediction': 0, 'probabilities': {'clase_0': 0.89, 'clase_1': 0.11, 'clase_2': 0.0}, 'message': 'Vino clasificado como: Clase 0'}
2025-03-26 18:59:55.676 | INFO     | main:predict_wine:44 - Recibiendo predicción para características: alcohol=0.0 malic_acid=0.0 ash=0.0 alcalinity_of_ash=0.0 magnesium=0.0 total_phenols=0.0 flavanoids=0.0 nonflavanoid_phenols=0.0 proanthocyanins=0.0 color_intensity=0.0 hue=0.0 od280_od315_of_diluted_wines=0.0 proline=0.0
2025-03-26 18:59:55.687 | INFO     | main:predict_wine:67 - Predicción exitosa: {'prediction': 1, 'probabilities': {'clase_0': 0.01, 'clase_1': 0.63, 'clase_2': 0.36}, 'message': 'Vino clasificado como: Clase 1'}
2025-03-26 19:00:03.741 | INFO     | main:predict_wine:44 - Recibiendo predicción para características: alcohol=13.0 malic_acid=1.5 ash=2.3 alcalinity_of_ash=15.0 magnesium=100.0 total_phenols=2.5 flavanoids=3.0 nonflavanoid_phenols=0.3 proanthocyanins=1.5 color_intensity=5.0 hue=1.0 od280_od315_of_diluted_wines=3.0 proline=1000.0
2025-03-26 19:00:03.752 | INFO     | main:predict_wine:67 - Predicción exitosa: {'prediction': 0, 'probabilities': {'clase_0': 0.89, 'clase_1': 0.11, 'clase_2': 0.0}, 'message': 'Vino clasificado como: Clase 0'}
